iter	Passed	Remaining
405	6200	9071
406	6214	9054
407	6228	9037
408	6244	9022
409	6259	9007
410	6272	8989
411	6287	8973
412	6303	8959
413	6319	8944
414	6335	8930
415	6349	8913
416	6362	8895
417	6376	8878
418	6391	8862
419	6406	8846
420	6421	8832
421	6437	8817
422	6453	8803
423	6468	8788
424	6485	8774
425	6501	8759
426	6514	8742
427	6529	8726
428	6543	8709
429	6559	8694
430	6574	8680
431	6589	8664
432	6603	8647
433	6617	8629
434	6631	8612
435	6646	8597
436	6664	8585
437	6685	8577
438	6701	8564
439	6718	8550
440	6733	8534
441	6748	8519
442	6765	8505
443	6778	8488
444	6792	8471
445	6807	8455
446	6823	8441
447	6838	8426
448	6852	8409
449	6866	8392
450	6880	8375
451	6898	8363
452	6913	8347
453	6928	8333
454	6943	8316
455	6958	8301
456	6972	8285
457	6987	8268
458	7004	8255
459	7024	8246
460	7040	8231
461	7055	8215
462	7070	8200
463	7085	8184
464	7098	8167
465	7112	8150
466	7129	8136
467	7143	8120
468	7158	8104
469	7171	8087
470	7187	8072
471	7201	8055
472	7215	8039
473	7229	8022
474	7243	8006
475	7257	7989
476	7271	7972
477	7285	7956
478	7301	7941
479	7314	7924
480	7328	7907
481	7344	7893
482	7358	7876
483	7372	7859
484	7385	7842
485	7401	7827
486	7415	7811
487	7430	7795
488	7444	7779
489	7460	7764
490	7473	7747
491	7487	7730
492	7500	7713
493	7516	7698
494	7529	7682
495	7543	7665
496	7558	7649
497	7573	7634
498	7587	7617
499	7600	7600
500	7616	7585
501	7632	7571
502	7647	7555
503	7662	7540
504	7677	7525
505	7691	7509
506	7706	7493
507	7721	7478
508	7735	7462
509	7750	7446
510	7765	7431
511	7783	7418
512	7797	7402
513	7811	7385
514	7825	7369
515	7840	7353
516	7857	7340
517	7871	7324
518	7887	7310
519	7904	7296
520	7918	7280
521	7931	7263
522	7946	7247
523	7961	7232
524	7976	7217
525	7992	7201
526	8006	7186
527	8020	7170
528	8035	7154
529	8050	7139
530	8066	7124
531	8079	7107
532	8094	7092
533	8111	7078
534	8127	7064
535	8142	7049
536	8158	7034
537	8172	7017
538	8186	7001
539	8203	6988
540	8219	6973
541	8233	6957
542	8246	6940
543	8261	6924
544	8276	6910
545	8291	6894
546	8305	6878
547	8319	6861
548	8333	6846
549	8348	6830
550	8362	6814
551	8377	6798
552	8392	6783
553	8409	6769
554	8424	6754
555	8439	6739
556	8453	6723
557	8469	6708
558	8483	6692
559	8497	6676
560	8511	6660
561	8526	6644
562	8542	6630
563	8558	6616
564	8571	6599
565	8586	6584
566	8600	6568
567	8615	6552
568	8631	6537
569	8646	6522
570	8659	6506
571	8673	6490
572	8690	6475
573	8703	6459
574	8717	6443
575	8732	6428
576	8749	6413
577	8764	6398
578	8777	6382
