iter	MultiClass
0	1.684097698
1	1.484997089
2	1.332584156
3	1.211534088
4	1.110005112
5	1.019787748
6	0.9468680682
7	0.8763761959
8	0.8157449844
9	0.7612707989
10	0.7124337838
11	0.6649401579
12	0.6222084703
13	0.5822027906
14	0.5482055818
15	0.5152482365
16	0.4877161359
17	0.4604352198
18	0.4365643858
19	0.4147755563
20	0.395096166
21	0.3720035423
22	0.3545862699
23	0.3384603038
24	0.3216319993
25	0.3063194938
26	0.289581315
27	0.2757443572
28	0.2618276162
29	0.2496093302
30	0.2388900028
31	0.2294866184
32	0.217974602
33	0.2079798763
34	0.1988567805
35	0.1895170792
36	0.1809062258
37	0.1729143398
38	0.164749485
39	0.158586583
40	0.1516910736
41	0.1444450344
42	0.1378725677
43	0.1326777266
44	0.1280028075
45	0.1234621392
46	0.1176654777
47	0.1127788637
48	0.1082260109
49	0.1043512447
50	0.1002508275
51	0.09597088821
52	0.09240288725
53	0.08921119787
54	0.08604053301
55	0.08244293672
56	0.07944772399
57	0.07696151867
58	0.07410659571
59	0.07163165578
60	0.06880442437
61	0.06592404616
62	0.06385705508
63	0.06184794276
64	0.05960966772
65	0.0571279547
66	0.05565834543
67	0.05354067855
68	0.05186852073
69	0.05019773661
70	0.04873517467
71	0.0470324698
72	0.04559687077
73	0.04416127796
74	0.04297955705
75	0.04152994715
76	0.04007339375
77	0.03873564006
78	0.03779835881
79	0.03642224171
80	0.03537723309
81	0.03446747742
82	0.03336686062
83	0.0329210674
84	0.03187934649
85	0.03087094719
86	0.02984924551
87	0.02888751862
88	0.02820474545
89	0.02756579737
90	0.02674965771
91	0.0261495068
92	0.02547977544
93	0.02492606364
94	0.0242122585
95	0.02359955275
96	0.02313184208
97	0.02258517718
98	0.02239733124
99	0.02183099144
100	0.02123564911
101	0.02071125262
102	0.02017598237
103	0.01973958398
104	0.01938518978
105	0.01911804692
106	0.018789522
107	0.01830062795
108	0.01788793326
109	0.01766085183
110	0.01735362741
111	0.0170951708
112	0.01679016924
113	0.01648797641
114	0.01621288609
115	0.01593360244
116	0.01574938433
117	0.01554608702
118	0.01546249536
119	0.0153041254
120	0.01508768479
121	0.01475902185
122	0.01463792086
123	0.01443958696
124	0.01417308654
125	0.01388055193
126	0.01358567228
127	0.01339592514
128	0.01314386641
129	0.01299392486
130	0.01278351565
131	0.01263912345
132	0.01256523554
133	0.01244392084
134	0.01234837763
135	0.01210430517
136	0.01185764266
137	0.01172359874
138	0.01158651214
139	0.01140851684
140	0.01118164805
141	0.01098533294
142	0.01088077579
143	0.01071832695
144	0.01058414085
145	0.01047332415
146	0.01038275385
147	0.01029532376
148	0.01021006427
149	0.01009542314
150	0.009957461568
151	0.009890649205
152	0.009752297909
153	0.009685204788
154	0.00961883566
155	0.009455093978
156	0.00936594858
157	0.009222995483
158	0.00916994738
159	0.009074968755
160	0.009026438461
161	0.008883974837
162	0.008800672111
163	0.008664435409
164	0.008612883679
165	0.008475306049
166	0.008360761509
167	0.008325784119
168	0.008265473897
169	0.008152314683
170	0.008083918301
171	0.007997492564
172	0.007902554781
173	0.007854213131
174	0.007765109691
175	0.007715692459
176	0.007652672063
177	0.007558283893
178	0.00750341488
179	0.007459000346
180	0.007363801837
181	0.00726051179
182	0.007223277581
183	0.007138773823
184	0.007102098648
185	0.0070743447
186	0.007032392934
187	0.006942155824
188	0.006902104444
189	0.006840875973
190	0.006791404859
191	0.006768183095
192	0.006710567323
193	0.006682898145
194	0.006608487934
195	0.006566604296
196	0.00653288214
